,E229884,E229909,E230084
O2a2b1a1a4a,"[22.321428571428573, 25]",,
I2a1a1a1a1a1a1a1a~,"[4.645161290322581, 12]","[3.903225806451613, 11]","[5.451612903225806, 13]"
Q2a1a1a1a1c1a2~,"[7.03125, 15]","[5.28125, 13]","[7.03125, 15]"
C2b1a2a2b1a1~,"[3.0476190476190474, 8]","[3.0476190476190474, 8]","[3.857142857142857, 9]"
A0-T,"[2.25, 3]","[2.25, 3]","[2.25, 3]"
Q2a1a4a~,"[9.0, 15]",,
BT,"[3.5714285714285716, 5]","[3.5714285714285716, 5]","[5.142857142857143, 6]"
K2,"[11.266666666666667, 13]",,"[11.266666666666667, 13]"
H1a2a1~,"[6.722222222222222, 11]",,"[8.0, 12]"
G2a2b2b2a2~,"[4.761904761904762, 10]",,"[5.761904761904762, 11]"
L1a1b3c1~,"[7.3478260869565215, 13]","[6.260869565217392, 12]",
D1b1c1b1~,"[2.8823529411764706, 7]","[2.8823529411764706, 7]","[3.764705882352941, 8]"
I2a1a1a1a1a4d1~,"[5.142857142857143, 12]","[4.321428571428571, 11]","[6.035714285714286, 13]"
O2,"[15.210526315789474, 17]",,
NO1,"[13.235294117647058, 15]","[9.941176470588236, 13]","[13.235294117647058, 15]"
G2a2b2a1a1b1a1a1a1a1a~,"[3.125, 10]","[3.125, 10]",
G2a2b1a1a1c~,"[4.545454545454546, 10]","[4.545454545454546, 10]","[5.5, 11]"
I2a1b1b1a,"[6.260869565217392, 12]","[5.260869565217392, 11]","[7.3478260869565215, 13]"
G2a2a1b1~,"[5.2631578947368425, 10]","[5.2631578947368425, 10]",
HIJK,"[8.333333333333334, 10]",,"[10.083333333333334, 11]"
O(Notes),"[11.56, 17]","[9.0, 15]","[11.56, 17]"
NO,"[12.25, 14]","[9.0, 12]","[12.25, 14]"
O2a,"[16.2, 18]",,
E1b1b1a1b1a6a1a2~,"[1.96, 7]","[1.96, 7]","[2.56, 8]"
R1a1a1b1a3a2b2b~,"[6.818181818181818, 15]",,
A1b1b2~,"[2.7777777777777777, 5]",,
G1a1a2b~,"[5.555555555555555, 10]",,
R1b1a1b1a1a2c1a4b2e~,"[6.081081081081081, 15]",,
O2a2b,"[18.181818181818183, 20]",,
G2a2b2a6~,"[5.2631578947368425, 10]","[5.2631578947368425, 10]","[6.368421052631579, 11]"
H1a1a4b3b1a7~,"[5.041666666666667, 11]",,
I2a1b1a2b2a~,"[5.76, 12]","[4.84, 11]",
O2a2,"[17.19047619047619, 19]",,
I2a1a2a1b1c1a,"[5.333333333333333, 12]","[4.481481481481482, 11]",
G2a2b2a1a1c2b2b~,"[3.8461538461538463, 10]","[3.8461538461538463, 10]","[4.653846153846154, 11]"
F,"[6.4, 8]","[6.4, 8]","[8.1, 9]"
K,"[10.285714285714286, 12]","[8.642857142857142, 11]",
R1a1a1b1a3a1b3e4~,"[6.617647058823529, 15]",,"[6.617647058823529, 15]"
CF,"[5.444444444444445, 7]","[5.444444444444445, 7]","[7.111111111111111, 8]"
O,"[14.222222222222221, 16]","[10.88888888888889, 14]","[14.222222222222221, 16]"
O2a2b1a1a,"[20.346153846153847, 23]",,
GHIJK,"[7.363636363636363, 9]","[7.363636363636363, 9]","[9.090909090909092, 10]"
A00-T,"[1.3333333333333333, 2]","[1.3333333333333333, 2]","[1.3333333333333333, 2]"
J1a2a1a2d2b2b2c4d2a2a1c1~,"[3.789473684210526, 12]",,"[4.447368421052632, 13]"
K~,"[11.266666666666667, 13]","[9.6, 12]","[11.266666666666667, 13]"
CT,"[4.5, 6]","[4.5, 6]","[6.125, 7]"
A1,"[3.2, 4]","[3.2, 4]","[3.2, 4]"
A1b1b2b1,"[2.272727272727273, 5]","[2.272727272727273, 5]",
J1a2a1a2d2b2b2c4b2b1a1~,"[4.0, 12]",,
O2a2b1,"[19.17391304347826, 21]",,
IJK,"[9.307692307692308, 11]","[7.6923076923076925, 10]","[11.076923076923077, 12]"
O2a2b1a1a4,"[21.333333333333332, 24]",,
I1a2a1a1d1a1c2c1~,"[4.8, 12]",,
A000-T,"[0.5, 1]","[0.5, 1]","[0.5, 1]"
E1b1b1b2a1a1a1a1f1b1a3~,"[1.5806451612903225, 7]",,"[2.064516129032258, 8]"
C2a1a3e~,"[4.0, 8]","[4.0, 8]","[5.0625, 9]"
A00-T~,"[1.5, 3]","[1.5, 3]","[1.5, 3]"
J1a2a1a2b~,"[6.260869565217392, 12]","[5.260869565217392, 11]","[7.3478260869565215, 13]"
